Date,Country,Tests,Day+,Day-
05-04-2020,India,9369,295,9074
06-04-2020,India,11432,311,11121
07-04-2020,India,12584,285,12299
08-04-2020,India,13413,320,13093
09-04-2020,India,16002,320,15682
10-04-2020,India,15663,433,15230
11-04-2020,India,17143,600,16543
12-04-2020,India,15583,544,15039
13-04-2020,India,21806,1243,20563
14-04-2020,India,26351,853,25498
15-04-2020,India,28941,953,27988
16-04-2020,India,27256,1206,26050
17-04-2020,India,31083,1443,29640
18-04-2020,India,35494,2194,33300
19-04-2020,India,27824,1135,26689
20-04-2020,India,25500,1239,24261
21-04-2020,India,26943,1537,25406
22-04-2020,India,24400,1292,23108
23-04-2020,India,26000,1667,24333
24-04-2020,India,23502,1408,22094
25-04-2020,India,38168,1835,36333
26-04-2020,India,45352,1607,43745
27-04-2020,India,40510,1568,38942
28-04-2020,India,50914,1902,49012
29-04-2020,India,54031,1705,52326
30-04-2020,India,59437,1801,57636
01-05-2020,India,72453,2396,70057
02-05-2020,India,73709,2564,71145
03-05-2020,India,70087,2952,67135
04-05-2020,India,60783,3656,57127
05-05-2020,India,84713,2971,81742
06-05-2020,India,84835,3602,81233
07-05-2020,India,80632,3344,77288
08-05-2020,India,80375,3339,77036
09-05-2020,India,85425,3175,82250
10-05-2020,India,85824,4311,81513
11-05-2020,India,64651,3592,61059
12-05-2020,India,85891,3562,82329
13-05-2020,India,94671,3726,90945
14-05-2020,India,92791,3991,88800
15-05-2020,India,92911,3808,89103
16-05-2020,India,94325,4794,89531
17-05-2020,India,93365,5049,88316
18-05-2020,India,75150,4628,70522
19-05-2020,India,101475,6154,95321
20-05-2020,India,108121,5720,102401
21-05-2020,India,103532,6023,97509
22-05-2020,India,103514,6536,96978
23-05-2020,India,115364,6663,108701
24-05-2020,India,108623,7113,101510
25-05-2020,India,90170,6414,83756
26-05-2020,India,92528,5866,86662
27-05-2020,India,116041,7271,108770
